GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
superheroes,com.daas.challenges.superheroes.services.impl,JwtServiceImpl,97,12,0,0,25,4,6,1,6,1
superheroes,com.daas.challenges.superheroes.services.impl,UserDetailsServiceImpl,84,9,2,0,24,4,5,1,4,1
superheroes,com.daas.challenges.superheroes.services.impl,SuperHeroServiceImpl,0,161,0,4,0,32,0,13,0,11
superheroes,com.daas.challenges.superheroes.services.impl,UserServiceImpl,108,22,0,0,17,8,4,2,4,2
superheroes,com.daas.challenges.superheroes.controllers,UserController,10,6,0,0,2,3,2,1,2,1
superheroes,com.daas.challenges.superheroes.controllers,SuperHeroController,0,32,0,0,0,8,0,6,0,6
superheroes,com.daas.challenges.superheroes.controllers,ExceptionHandlerController,30,39,0,0,3,7,3,4,3,4
superheroes,com.daas.challenges.superheroes.exceptions,NotFoundException,0,4,0,0,0,2,0,1,0,1
superheroes,com.daas.challenges.superheroes.exceptions,IllegalArgumentException,0,4,0,0,0,2,0,1,0,1
superheroes,com.daas.challenges.superheroes.dtos,UserDTO,25,0,0,0,9,0,5,0,5,0
superheroes,com.daas.challenges.superheroes.dtos,ErrorResponse,0,20,0,0,0,8,0,4,0,4
superheroes,com.daas.challenges.superheroes.dtos,SuperHeroDTO,0,38,0,0,0,12,0,6,0,6
superheroes,com.daas.challenges.superheroes.dtos,LoginDTO,15,0,0,0,6,0,4,0,4,0
superheroes,com.daas.challenges.superheroes.entities,Role,12,3,0,0,4,1,4,1,4,1
superheroes,com.daas.challenges.superheroes.entities,User,37,3,0,0,13,1,7,1,7,1
superheroes,com.daas.challenges.superheroes.entities,SuperHero,6,37,0,0,2,13,2,7,2,7
superheroes,com.daas.challenges.superheroes.configurations,JwtTokenFilter,49,10,4,0,11,4,5,2,3,2
superheroes,com.daas.challenges.superheroes.configurations,SecurityConfiguration,0,86,0,0,0,17,0,4,0,4
superheroes,com.daas.challenges.superheroes.configurations,LoggingAspect,0,57,0,0,0,10,0,2,0,2
superheroes,com.daas.challenges.superheroes.configurations,OpenAPIConfiguration,0,32,0,0,0,10,0,2,0,2
superheroes,com.daas.challenges.superheroes,SuperheroesApplication,5,3,0,0,2,1,1,1,1,1
